construction,slot,market,month_from,month_to,n,rho,sessions_shared,window,era
trading_beta.v0,us_institutional,us,2024-06,2024-09,22,0.6872,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-07,2024-10,22,0.5144,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-08,2024-11,22,0.5471,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-09,2024-12,22,0.4986,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-10,2025-01,22,0.4963,2.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-11,2025-02,22,0.8645,3.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-12,2025-03,22,0.8634,3.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-01,2025-04,22,0.5088,2.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-02,2025-05,22,0.5381,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-03,2025-06,22,0.6352,1.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-04,2025-07,22,0.4365,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-05,2025-08,22,0.5291,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-06,2025-09,22,0.6194,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-07,2025-10,22,0.5652,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-08,2025-11,22,0.7346,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-09,2025-12,22,0.8385,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-10,2026-01,22,0.8114,2.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-11,2026-02,22,0.7922,2.0,63,reconstruction
trading_beta.v0,us_institutional,us,2025-12,2026-03,22,0.7899,2.0,63,reconstruction
trading_beta.v0,us_institutional,us,2026-01,2026-04,22,0.9063,1.0,63,reconstruction
trading_beta.v0,us_institutional,us,2026-02,2026-05,22,0.5844,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2026-03,2026-06,21,0.6481,1.0,63,reconstruction
trading_beta.v0,us_institutional,us,2026-04,2026-07,21,0.7714,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2026-05,2026-08,21,0.8922,14.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-01,2024-04,15,0.6821,7.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-02,2024-05,15,0.5429,2.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-03,2024-06,15,0.375,4.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-04,2024-07,15,0.3036,1.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-05,2024-08,15,0.45,0.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-06,2024-09,15,0.1964,0.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-07,2024-10,15,0.1214,4.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-08,2024-11,15,0.35,5.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-09,2024-12,15,0.2857,2.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-10,2025-01,15,-0.0214,2.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-11,2025-02,15,-0.2393,5.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2024-12,2025-03,15,-0.0393,6.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-01,2025-04,15,-0.25,3.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-02,2025-05,15,-0.2929,2.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-03,2025-06,15,-0.0429,3.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-04,2025-07,15,0.225,1.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-05,2025-08,15,0.2214,0.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-06,2025-09,15,0.475,0.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-07,2025-10,15,0.525,3.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-08,2025-11,15,0.3143,4.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-09,2025-12,15,0.5036,3.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-10,2026-01,15,0.0893,0.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-11,2026-02,15,-0.2036,6.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2025-12,2026-03,15,-0.1286,7.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2026-01,2026-04,15,0.7607,6.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2026-02,2026-05,15,0.0964,2.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2026-03,2026-06,15,0.4071,3.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2026-04,2026-07,15,0.4179,1.0,63,reconstruction
trading_beta.v0,cn_mature,cn,2026-05,2026-08,15,0.5429,12.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-01,2024-04,11,0.8455,7.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-02,2024-05,11,0.9364,2.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-03,2024-06,11,0.7545,4.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-04,2024-07,11,0.3636,1.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-05,2024-08,11,0.8545,0.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-06,2024-09,11,0.7455,0.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-07,2024-10,11,0.6091,4.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-08,2024-11,11,0.5909,5.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-09,2024-12,11,0.6727,2.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-10,2025-01,11,0.7727,2.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-11,2025-02,11,0.8727,5.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2024-12,2025-03,11,0.8909,6.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-01,2025-04,11,0.9455,3.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-02,2025-05,11,0.8,2.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-03,2025-06,11,0.7545,3.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-04,2025-07,11,0.5273,1.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-05,2025-08,11,0.9455,0.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-06,2025-09,11,0.7364,0.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-07,2025-10,11,0.7818,3.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-08,2025-11,11,0.5727,4.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-09,2025-12,11,0.4818,3.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-10,2026-01,11,0.8545,0.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-11,2026-02,11,0.9091,6.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2025-12,2026-03,11,0.5364,7.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2026-01,2026-04,11,0.3364,6.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2026-02,2026-05,11,0.4455,2.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2026-03,2026-06,11,0.3364,3.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2026-04,2026-07,11,0.4455,1.0,63,reconstruction
trading_beta.v0,cn_young_speculative,cn,2026-05,2026-08,11,0.7636,12.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2023-06,2023-09,21,0.7883,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2023-07,2023-10,21,0.8364,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2023-08,2023-11,21,0.7519,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2023-09,2023-12,21,0.7584,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2023-10,2024-01,21,0.7948,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2023-11,2024-02,22,0.6804,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2023-12,2024-03,22,0.528,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-01,2024-04,22,0.5031,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-02,2024-05,22,0.6883,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-03,2024-06,22,0.7278,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-04,2024-07,22,0.4986,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-05,2024-08,23,0.4921,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-06,2024-09,23,0.5879,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-07,2024-10,23,0.4555,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-08,2024-11,23,0.498,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-09,2024-12,23,0.5049,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-10,2025-01,23,0.333,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-11,2025-02,23,0.4308,3.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2024-12,2025-03,24,0.6974,3.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-01,2025-04,24,0.8626,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-02,2025-05,24,0.7757,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-03,2025-06,24,0.653,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-04,2025-07,24,0.873,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-05,2025-08,25,0.7938,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-06,2025-09,25,0.7015,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-07,2025-10,25,0.8,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-08,2025-11,25,0.8023,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-09,2025-12,25,0.7477,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-10,2026-01,25,0.7469,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-11,2026-02,25,0.7369,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2025-12,2026-03,25,0.7385,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2026-01,2026-04,25,0.8269,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2026-02,2026-05,25,0.5246,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2026-03,2026-06,25,0.2685,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2026-04,2026-07,25,0.5369,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.us,us,2026-05,2026-08,25,0.6438,14.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-01,2024-04,35,0.9106,7.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-02,2024-05,35,0.9081,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-03,2024-06,35,0.8899,4.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-04,2024-07,35,0.5686,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-05,2024-08,35,0.7473,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-06,2024-09,35,0.6036,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-07,2024-10,35,0.2742,4.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-08,2024-11,35,0.0157,5.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-09,2024-12,35,0.0154,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-10,2025-01,35,-0.0756,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-11,2025-02,35,-0.0487,5.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2024-12,2025-03,35,-0.0658,6.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-01,2025-04,35,0.3403,3.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-02,2025-05,35,0.7036,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-03,2025-06,35,0.7485,3.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-04,2025-07,35,0.7241,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-05,2025-08,35,0.4577,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-06,2025-09,35,0.4804,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-07,2025-10,35,0.3227,3.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-08,2025-11,35,0.6471,4.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-09,2025-12,35,0.6798,3.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-10,2026-01,35,0.6627,0.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-11,2026-02,35,0.6891,6.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2025-12,2026-03,35,0.4034,7.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2026-01,2026-04,35,0.6717,6.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2026-02,2026-05,37,0.5725,2.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2026-03,2026-06,37,0.5138,3.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2026-04,2026-07,37,0.5678,1.0,63,reconstruction
trading_beta.v0,cross_market_pair.cn,cn,2026-05,2026-08,37,0.6091,12.0,63,reconstruction
attention_share.cn.lhb.v0,cn_mature,cn,2026-03,2026-06,15,-0.1046,,63,reconstruction
attention_share.cn.lhb.v0,cn_mature,cn,2026-04,2026-07,15,0.4231,,63,reconstruction
attention_share.cn.lhb.v0,cn_young_speculative,cn,2025-01,2025-04,11,0.3518,,63,reconstruction
attention_share.cn.lhb.v0,cn_young_speculative,cn,2025-07,2025-10,11,-0.1,,63,reconstruction
attention_share.cn.lhb.v0,cn_young_speculative,cn,2025-08,2025-11,11,0.5933,,63,reconstruction
attention_share.cn.lhb.v0,cn_young_speculative,cn,2025-09,2025-12,11,0.4468,,63,reconstruction
attention_share.cn.lhb.v0,cn_young_speculative,cn,2026-05,2026-08,11,0.6708,,63,reconstruction
attention_share.cn.lhb.v0,cross_market_pair.cn,cn,2025-01,2025-04,37,0.3191,,63,reconstruction
attention_share.cn.lhb.v0,cross_market_pair.cn,cn,2025-06,2025-09,37,0.3309,,63,reconstruction
attention_share.cn.lhb.v0,cross_market_pair.cn,cn,2025-07,2025-10,37,0.1664,,63,reconstruction
attention_share.cn.lhb.v0,cross_market_pair.cn,cn,2025-08,2025-11,37,0.5006,,63,reconstruction
attention_share.cn.lhb.v0,cross_market_pair.cn,cn,2025-09,2025-12,37,0.303,,63,reconstruction
attention_share.cn.lhb.v0,cross_market_pair.cn,cn,2026-04,2026-07,37,0.2045,,63,reconstruction
attention_share.cn.lhb.v0,cross_market_pair.cn,cn,2026-05,2026-08,37,0.5635,,63,reconstruction
