asset,event_group,horizon,n,mean_forward_return,median_forward_return,positive_rate,mean_max_drawdown,median_max_drawdown,inference_note
SPY,bearish_above_zero,4w,29,0.018585676867394686,0.02879338578686852,0.6896551724137931,-0.03783232947824562,-0.024976336209805994,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_above_zero,8w,29,0.027771480111468166,0.02992037889598742,0.7931034482758621,-0.04940596019375539,-0.036151182192663334,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_above_zero,13w,29,0.03829851896753155,0.05014954417316564,0.7931034482758621,-0.06813012395447539,-0.04137114885253168,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_above_zero,26w,29,0.08607918737626061,0.10594353775333065,0.8275862068965517,-0.09166695403182161,-0.07273488245374737,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_above_zero,52w,28,0.10844051702966755,0.12640045592712612,0.75,-0.1556092311280593,-0.13022909146957462,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_near_high,4w,23,0.017392545210115525,0.02859480701908046,0.6956521739130435,-0.028940838566631134,-0.024976336209805994,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_near_high,8w,23,0.02524101343426529,0.02992037889598742,0.8695652173913043,-0.0417779235517123,-0.036151182192663334,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_near_high,13w,23,0.032681768453691334,0.05014954417316564,0.782608695652174,-0.05713145454234504,-0.03973704273845413,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_near_high,26w,23,0.07090576580440823,0.10121915458335784,0.782608695652174,-0.08504424671784835,-0.07273488245374737,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_near_high,52w,22,0.08753798774916072,0.12640045592712612,0.6818181818181818,-0.14287740255446107,-0.12055059010733471,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_recent_rsi_ge70,4w,15,0.01442367686359544,0.031795946537494846,0.7333333333333333,-0.0443097299403257,-0.025784613970496584,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_recent_rsi_ge70,8w,15,0.02651831377586731,0.033700587978876095,0.8,-0.05663394256062849,-0.03908327504051978,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_recent_rsi_ge70,13w,15,0.04277528161743836,0.05014954417316564,0.8666666666666667,-0.07124327196700628,-0.04137114885253168,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_recent_rsi_ge70,26w,15,0.08206885177542911,0.11176142941623124,0.8666666666666667,-0.1021145249266446,-0.08405611559573534,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_recent_rsi_ge70,52w,14,0.09100547897881532,0.10849494046303065,0.7142857142857143,-0.1646305485164681,-0.18487749336709403,descriptive only; forward windows can overlap and are serially dependent
SPY,unconditional_weekly,4w,701,0.012178683090869124,0.016799050558004014,0.7004279600570613,-0.03481734802507604,-0.025581985618389314,descriptive only; forward windows overlap heavily and are serially dependent
SPY,unconditional_weekly,8w,697,0.02391793183662362,0.028756969213144412,0.7560975609756098,-0.05177686180216916,-0.03949622822400245,descriptive only; forward windows overlap heavily and are serially dependent
SPY,unconditional_weekly,13w,692,0.03791847894029531,0.0446920072639736,0.7803468208092486,-0.06736272845041413,-0.051141400251308866,descriptive only; forward windows overlap heavily and are serially dependent
SPY,unconditional_weekly,26w,678,0.07460092323970759,0.08254790145667468,0.8333333333333334,-0.09603648587758784,-0.0748306818865106,descriptive only; forward windows overlap heavily and are serially dependent
SPY,unconditional_weekly,52w,653,0.14822799682274024,0.16033951872187258,0.8728943338437979,-0.13401943093093815,-0.10101887625438855,descriptive only; forward windows overlap heavily and are serially dependent
QQQ,bullish_all,4w,32,0.017720840976589283,0.016397338810789974,0.71875,-0.03225448006740972,-0.025977339075719197,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_all,8w,32,0.02445994963962433,0.02385987464078998,0.625,-0.05336290973411955,-0.042561735887323426,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_all,13w,31,0.036905024256575485,0.05041484079359626,0.7096774193548387,-0.07334633535959842,-0.055830329171519866,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_all,26w,31,0.06707929649605994,0.10447984799589216,0.7419354838709677,-0.12167478223277434,-0.10522588433610769,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_all,52w,31,0.1654943116133189,0.21662388390864606,0.8387096774193549,-0.16400214401679417,-0.13941052118759412,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_below_zero,4w,5,0.025386111823806255,0.025605839635651773,1.0,-0.032118265842691104,-0.024463267795456822,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_below_zero,8w,5,0.01581536269899162,-0.020046077411799645,0.4,-0.0699513350296356,-0.055830329171519866,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_below_zero,13w,5,0.036284398900823175,0.05759873106871627,0.6,-0.08824858344747588,-0.055830329171519866,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_below_zero,26w,5,0.09682968085530379,0.10447984799589216,0.8,-0.11920319971722215,-0.10983210230032314,descriptive only; forward windows can overlap and are serially dependent
QQQ,bullish_below_zero,52w,5,0.3137160055294729,0.3528255424605167,1.0,-0.12737149539366033,-0.1123427378427404,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_all,4w,31,0.016375363185063788,0.024660484485826695,0.7419354838709677,-0.05009589977524173,-0.03700701956611252,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_all,8w,31,0.030746743872505387,0.03125285349278717,0.8064516129032258,-0.06669126247882637,-0.05407543017946281,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_all,13w,31,0.044321430446141424,0.06536270782281073,0.8064516129032258,-0.08591398446688014,-0.06897637182169969,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_all,26w,31,0.11728624194288297,0.1345664984917836,0.8387096774193549,-0.11360773056763576,-0.08736039836465548,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_all,52w,30,0.1549676111140902,0.19360444383072395,0.8666666666666667,-0.17685325965319093,-0.16104410298613547,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_above_zero,4w,30,0.016425523875338688,0.02628207343573663,0.7333333333333333,-0.049238561432501673,-0.03589200215467386,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_above_zero,8w,30,0.030858027214917486,0.03159935559357441,0.8,-0.06613232417633587,-0.050974612186646784,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_above_zero,13w,30,0.04745683315502437,0.0658406364889268,0.8333333333333334,-0.08503302602101813,-0.06888382410223115,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_above_zero,26w,30,0.11548048302548992,0.13427385910753575,0.8333333333333334,-0.11364989699179893,-0.08220956830820669,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_above_zero,52w,29,0.14987027914304518,0.18820689094883591,0.8620689655172413,-0.1790777604052754,-0.16104410298613547,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_near_high,4w,18,0.01768811422969597,0.02953891367910022,0.7777777777777778,-0.04129871991151182,-0.033332984269718036,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_near_high,8w,18,0.02609450203498845,0.03350136788272162,0.7777777777777778,-0.05509492666617733,-0.04100103399235877,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_near_high,13w,18,0.03950663439220958,0.060671425674450385,0.7777777777777778,-0.0774100975943882,-0.05102947290639387,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_near_high,26w,18,0.0971947926373053,0.1180803695442102,0.7777777777777778,-0.11289247501968244,-0.07518237741347261,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_near_high,52w,18,0.11468893519291656,0.07377857639666385,0.8333333333333334,-0.17134242938183702,-0.16104410298613547,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_recent_rsi_ge70,4w,12,0.011722386283227923,0.02256363545107154,0.75,-0.06444978512601969,-0.047805387296912416,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_recent_rsi_ge70,8w,12,0.024511170907440104,0.03079789835532698,0.75,-0.08615107622916383,-0.06888382410223115,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_recent_rsi_ge70,13w,12,0.05284682987779107,0.06721314805863088,0.9166666666666666,-0.09778330266659645,-0.07563489516976424,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_recent_rsi_ge70,26w,12,0.11631600727114405,0.12996957198506343,0.8333333333333334,-0.13301212799269538,-0.10687071766481582,descriptive only; forward windows can overlap and are serially dependent
QQQ,bearish_recent_rsi_ge70,52w,11,0.13313263465303687,0.19900199671261198,0.8181818181818182,-0.19397428427751084,-0.2241773878829728,descriptive only; forward windows can overlap and are serially dependent
QQQ,unconditional_weekly,4w,701,0.016698120514577034,0.01911156720556595,0.6918687589158345,-0.04447802047162779,-0.03333912721279886,descriptive only; forward windows overlap heavily and are serially dependent
QQQ,unconditional_weekly,8w,697,0.03303149198899244,0.037945321134407406,0.7446197991391679,-0.06525124051794917,-0.04954928709473283,descriptive only; forward windows overlap heavily and are serially dependent
QQQ,unconditional_weekly,13w,692,0.052626500544144,0.05741815308966769,0.7817919075144508,-0.084005594349941,-0.07108293875796279,descriptive only; forward windows overlap heavily and are serially dependent
QQQ,unconditional_weekly,26w,678,0.10412646831507955,0.11497733289623846,0.831858407079646,-0.11967948553679744,-0.10522588433610769,descriptive only; forward windows overlap heavily and are serially dependent
QQQ,unconditional_weekly,52w,653,0.21088925674085882,0.23537035149008512,0.888208269525268,-0.15987544139339074,-0.13557745961827594,descriptive only; forward windows overlap heavily and are serially dependent
