owner,path,kind,status,mergeability,head_sha_or_blob,url,next_gate,clock_utc,notes
CHINA_ALPHA,research/CHINA_ALPHA_INTELLIGENCE_MASTERPLAN.md,file,on_main,n/a,ebe8f4c6f816b2de0f0d73d1033ddf36cd75df9d,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/CHINA_ALPHA_INTELLIGENCE_MASTERPLAN.md,same Sol review gate; PR-0B/RIGHTS-0/PR-0D commissions ready after,2026-08-19T18:27:05Z,PR #5953
CHINA_ALPHA,research/china_alpha_intelligence/commissions/PR-0B_v4_telemetry.md,commission,todo_gated,n/a,c617be762ae7dee6af9e96877f946a8bc16a5bb6,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/china_alpha_intelligence/commissions/PR-0B_v4_telemetry.md,after Sol final freeze review; touches china_prophet_shadow / china_board_rank telemetry only,2026-08-19T18:27:05Z,explicitly out of scope for Grok G0
CHINA_ALPHA,research/china_alpha_intelligence/commissions/RIGHTS-0_source_entitlement_audit.md,commission,todo_gated,n/a,6ad3b5c1ca4c9bb8e935f602e9aaf1254d31e0f9,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/china_alpha_intelligence/commissions/RIGHTS-0_source_entitlement_audit.md,after Sol final freeze review; consumes CN-A matrix still on open #5945,2026-08-19T18:24:45Z,
CHINA_ALPHA,research/china_alpha_intelligence/commissions/PR-0D_china_identity_extension.md,commission,todo_gated,n/a,c617be762ae7dee6af9e96877f946a8bc16a5bb6,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/china_alpha_intelligence/commissions/PR-0D_china_identity_extension.md,after Sol final freeze review; coordinate WS:STOCK-IDENTITY; identity-only,2026-08-19T18:27:05Z,
CHINA_ALPHA,research/china_alpha_intelligence/commissions/P1_institutional_visit_tape.md,commission,todo_blocked_on_rights0,n/a,c617be762ae7dee6af9e96877f946a8bc16a5bb6,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/china_alpha_intelligence/commissions/P1_institutional_visit_tape.md,after RIGHTS-0 visit-source verdict,2026-08-19T18:27:05Z,
CHINA_ALPHA,PR #5953,pr,MERGED,merged,c617be762ae7dee6af9e96877f946a8bc16a5bb6,https://github.com/mastermindx-market-intelligence/macro/pull/5953,Sol final freeze review,2026-08-19T18:23:48Z,merged 2026-08-19T16:05:16Z
CHINA_ALPHA_G0_SLOT,PR #5943,pr,MERGED,merged,be6c477c3d80f01e99a17c2fef78286514a7ba0d,https://github.com/mastermindx-market-intelligence/macro/pull/5943,closed as CN-G0 post-event census; not this G0-DEPENDENCY-CENSUS,2026-08-19T18:23:48Z,merged 2026-08-19T18:08:49Z path research/alpha_intelligence/censuses/CN-G0/
CHINA_ALPHA_G0_SLOT,PR #5955,pr,MERGED,merged,c2f3f7da8bbbeb28966157680ac2f9507a96d200,https://github.com/mastermindx-market-intelligence/macro/pull/5955,closed as canonical US G0 inside Earnings OS,2026-08-19T18:23:48Z,merged 2026-08-19T18:13:48Z path research/earnings_intelligence/g0/
CHINA_ALPHA_G0_SLOT,PR #5933,pr,MERGED,merged,1a073430be14d818af89752f49552953784715b8,https://github.com/mastermindx-market-intelligence/macro/pull/5933,seat packet governs US/CN G0 homes,2026-08-19T18:23:48Z,merged 2026-08-19T16:05:24Z
ENGINE_AUTHORITY,engine/china_board_rank.py,file,on_main_no_open_pr,none_open,5b51575f2cbc0834c19bc3208e45f853bb982cf7,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/engine/china_board_rank.py,Grok G0 must not touch; PR-0B may add telemetry later,2026-08-19T18:27:05Z,last e7cdfa257322 PR #5808 2026-08-16T20:43:01Z; gh pr list search china_board_rank.py open = []
ENGINE_AUTHORITY,engine/china_prophet_shadow.py,file,on_main_no_open_pr,none_open,67183dc11557d07d434f650297846dbce7b9ef19,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/engine/china_prophet_shadow.py,PR-0B is the named next writer; Grok G0 must not touch,2026-08-19T18:27:05Z,last 9aca28d248c7 2026-08-05; plane persists zero intel anatomy per PR-0B pin
ENGINE_AUTHORITY,engine/china_intel_interest.py,file,on_main,n/a,cb7e1895c75a560b09f8207de8aa58bc4389bafe,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/engine/china_intel_interest.py,coverage-atomic ordering live; no G0 edit,2026-08-19T18:27:05Z,last e7cdfa257322 PR #5808
ENGINE_AUTHORITY,engine/china_standout_track.py,file,on_main,n/a,79d8da94a2ee8f5e2f5057c13964d310a3c2783c,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/engine/china_standout_track.py,L0 extracts; no rival grader,2026-08-19T18:27:05Z,last fda2cfee4cb8 PR #5902
ENGINE_AUTHORITY,data/china_prophet_rank/candidates.parquet,store,on_main,n/a,e9d6bbdb91ea8eaa9e39cad448926fa3962fb012,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/data/china_prophet_rank/candidates.parquet,canonical research population; PR-0B extends in place,2026-08-19T18:27:05Z,blob SHA from git rev-parse origin/main:path
IDENTITY,agentos/workstreams/WS-STOCK-IDENTITY.md,workstream,active_on_main_wave_status_stale,n/a,d868655621ac0e1eff09dca775ed0da85c75114e,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/agentos/workstreams/WS-STOCK-IDENTITY.md,Fable reconcile W2 status vs merged #5643; W3 todo,2026-08-19T18:24:45Z,WS file still says W2 in_progress; PR #5643 MERGED 2026-08-16T18:48:33Z sha fa2f3d216188
IDENTITY,engine/stock_identity/,dir,on_main,n/a,fa2f3d2161881b17b279cc79c2798cb1c83181f3,https://github.com/mastermindx-market-intelligence/macro/tree/f57565ac52bfc48d5bc1539d1112bed87ba36004/engine/stock_identity,PR-0D must coordinate; no china_company_master,2026-08-19T18:24:45Z,last W2 merge
IDENTITY,PR #5643,pr,MERGED,merged,fa2f3d2161881b17b279cc79c2798cb1c83181f3,https://github.com/mastermindx-market-intelligence/macro/pull/5643,W3 episode ruler not opened in this census,2026-08-19T18:23:48Z,Stock Identity W2
IDENTITY,PR #5894,pr,MERGED,merged,a8b9b0c208c15dd15ffda144110677264bb3367d,https://github.com/mastermindx-market-intelligence/macro/pull/5894,PR-0D extends canonical master for China/HK gap,2026-08-19T18:23:48Z,GMI to Data OS bridge merged 2026-08-18T14:56:25Z
IDENTITY,PR #5965,pr,MERGED,merged,860cbd782d4cb94dbaeeb53c3f3c32ce7d360569,https://github.com/mastermindx-market-intelligence/macro/pull/5965,typed refusals live; China resolution still named gap,2026-08-19T18:24:45Z,V4-D2B1 issuer authority merged 2026-08-19T11:58:20Z
IDENTITY,PR #5984,pr,MERGED,merged,a36924869fb2196706e76d2f2435e815ed8c6a53,https://github.com/mastermindx-market-intelligence/macro/pull/5984,dossier identity heal; not China PR-0D,2026-08-19T18:24:45Z,merged 2026-08-19T16:12:43Z
ST_PARITY,collectors/china_st.py,file,on_main_no_open_pr,none_open,e72880babb46c24dc22fe8a27d7a0756a3b9a023,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/collectors/china_st.py,G1 remains DORMANT_P0_ST; do not replay from this census,2026-08-19T18:24:45Z,comments record push2 502 freeze at 2026-07-06; last PR #5975 a22e65630f83
ST_PARITY,config/cn_limit_rules.yml,file,on_main,n/a,9eec691c45a308f01b58538b51085cc66dfe0e93,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/config/cn_limit_rules.yml,Grok G0 does not interpret widths; G1 owns 2026-07-06 row replay,2026-08-19T18:24:45Z,sse_main/szse_main ST ±5% valid_from 1998-04-28; BSE ordinary split at 2026-07-06 is SAME WIDTH NEW RULEBOOK not a main-board ST width change
ST_PARITY,data/china_st/st_history.parquet,store,on_main,n/a,c1ac6a984b46cad8c3341351eb2536ad141801e0,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/data/china_st/st_history.parquet,G1 enumerates affected keys; not this commission,2026-08-19T18:27:05Z,blob from git ls-tree origin/main
ST_PARITY,data/china_st/st_snapshot.parquet,store,on_main,n/a,ba8a8ad40e7b8cf476a1c2c180bbcfd35ef1d9cf,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/data/china_st/st_snapshot.parquet,G1,2026-08-19T18:27:05Z,
ST_PARITY,engine/china_special_situations.py,file,on_main,n/a,8d032f7eb9bbedc253e481ad4b1a629e9d54cd5a,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/engine/china_special_situations.py,distinct from ST/risk-warning membership,2026-08-19T18:24:45Z,last PR #5996 63caa6cb63a0 2026-08-19T16:18:27Z
ST_PARITY,PR #5975,pr,MERGED,merged,a22e65630f8389bd29794b394273f27ab329a438,https://github.com/mastermindx-market-intelligence/macro/pull/5975,does not replace G1 P0 ST replay,2026-08-19T18:24:45Z,china-special-sits truth; also last writer of collectors/china_st.py
ST_PARITY,PR #5996,pr,MERGED,merged,63caa6cb63a0e21dc3bcea95bad31579a40746bb,https://github.com/mastermindx-market-intelligence/macro/pull/5996,display-cap follow-up,2026-08-19T18:24:45Z,
GROK_CN_OPEN,PR #5944,pr,OPEN,MERGEABLE_UNSTABLE,56a002deb52cb1db07c586138876fafcc163411e,https://github.com/mastermindx-market-intelligence/macro/pull/5944,Fable reconcile open census PR vs #5953 freeze citation of CN-C; Grok does not merge,2026-08-19T18:23:48Z,labels merge-on-green+merge-blocked; files ABSENT_MAIN; CN-C SOE demand
GROK_CN_OPEN,PR #5945,pr,OPEN,MERGEABLE_UNSTABLE,11091c0de17b959d56a5cc78e56154b1c3077d9e,https://github.com/mastermindx-market-intelligence/macro/pull/5945,Fable reconcile open CN-A matrix vs freeze citation; packs were IN_PROGRESS at clock,2026-08-19T18:26:26Z,Tushare rights matrix ABSENT_MAIN; ci-pack-0/1 IN_PROGRESS; ci-authority/codex/merge-queue-pilot FAILURE
GROK_CN_OPEN,PR #5946,pr,OPEN,MERGEABLE_UNSTABLE,68934266bfa40566cd3ad1f84909688bbdf5ecb4,https://github.com/mastermindx-market-intelligence/macro/pull/5946,Fable reconcile open CN-D vs freeze citation,2026-08-19T18:23:48Z,EIA source map ABSENT_MAIN
GROK_CN_OPEN,PR #5947,pr,OPEN,MERGEABLE_UNSTABLE,e68ee5dd3707b4b463c9b8fc31963c79270386cd,https://github.com/mastermindx-market-intelligence/macro/pull/5947,Fable reconcile open CN-B vs freeze citation; packs IN_PROGRESS at clock,2026-08-19T18:26:26Z,resolver bake-off ABSENT_MAIN
GROK_CN_OPEN,PR #5949,pr,OPEN,MERGEABLE_UNSTABLE,fde26cbcb582491e3d6ba539f968c6f75f032cd2,https://github.com/mastermindx-market-intelligence/macro/pull/5949,Fable reconcile open CN-G priors vs freeze citation,2026-08-19T18:23:48Z,prior table ABSENT_MAIN
GROK_CN_OPEN,PR #5951,pr,OPEN,MERGEABLE_UNSTABLE,41a58dfc57dd7cf689829b8ffabc112f34a41490,https://github.com/mastermindx-market-intelligence/macro/pull/5951,Fable reconcile DEC:CN-NO-SUPPLY-CHAIN-SEAT-PURCHASE cited on main freeze but file ABSENT_MAIN,2026-08-19T18:26:26Z,DEC file not on main; ci-plan IN_PROGRESS; merge-queue-pilot FAILURE
GROK_CN_MERGED,PR #5950,pr,MERGED,merged,179dee1474b3f8eed226ec5d4b2de04520a94e43,https://github.com/mastermindx-market-intelligence/macro/pull/5950,CN-F artifacts on main,2026-08-19T18:23:48Z,merged 2026-08-19T18:15:25Z; DSC-CN-F-ONLY-BIO-AND-EV-PIN-UNIQUE-CLOCKS ON_MAIN
MAP_STALE,docs/ACTIVE_BUILD_MAP.md,generated_view,stale_vs_this_census,n/a,2313bdbd9b73634ced5dd34c41858c7ab25136df,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/docs/ACTIVE_BUILD_MAP.md,do not treat as live occupancy,2026-08-19T15:02:31Z,generated 2026-08-19T15:02:31Z listing #5953/#5943/#5955 as open; those are merged by this census clock
CENSUS_PIN,origin/main,ref,moving_hot_tape,n/a,f57565ac52bfc48d5bc1539d1112bed87ba36004,https://github.com/mastermindx-market-intelligence/macro/commit/f57565ac52bfc48d5bc1539d1112bed87ba36004,re-pin before any later wave,2026-08-19T18:27:05Z,hot-tape: radar 2026-08-19T18:26Z [skip ci]; owner-file blobs unchanged vs ab4b50a1 for china masterplan and china_board_rank
